Mom ID,i3032,i3017,i1284,i3016,i3004,i3033,i1299,i1284,i1273,i3034,i3001,i3034,i3017,i3018,i3031,i3018,i3017,i3012,i3037,i3010,i3033,i3034,i3018,i1270,i3026,i3010,i3041,i1278,i1284,i3019,i3034,i1270,i1284,i1279,i3043,i3037,i3034,i3037,i3026,i1284,i3040,i3045,i3037,i1284,i3019,i3011,i3046,i3033,i1270,i3034,i3019,i3034,i1270,i1270,i3000,i1279,i3005,i3001,i3047,i3006,i3077,i3009,i3008,i3007,i3102,i3078,i1299,i3010,i3028,i3090,i3035,i3008,i3036,i3003,i3009,i3038,i3025,i1281,i1269,i3039,i3091,i3091,i3091,i3040,i3040,i3013,i3022,i3014,i3042,i3022,i1297,i3044,i3021
Birthdate,38497,38519,38543,38497,38515,38523,38547,38551,38579,38497,38517,38499,38519,38531,38577,38501,38507,38537,38531,38501,38509,38525,38531,38539,34561,38501,38523,38533,38543,38501,38517,38527,38551,38549,38501,38531,38517,38531,38539,38543,38575,38503,38509,38543,38507,38579,38507,38517,38539,38505,38517,38505,38523,38527,38527,38519,38545,38527,38543,38651,38661,38665,38669,38587,38655,38535,38547,38607,38617,38661,38671,38675,38601,38609,38671,38589,38591,38593,38595,38655,38661,38667,38685,38603,38631,38655,38619,38631,38661,38675,38595,38595,38603
ID,i1310,i1311,i1312,i1313,i1314,i1315,i1316,i1317,i1318,i1319,i3125,i1321,i1322,i1323,i1324,i1325,i1326,i1327,i1328,i1329,i1330,i1331,i1332,i1333,i1334,i1335,i1336,i1337,i1338,i1339,i1340,i1341,i1342,i1343,i1344,i1345,i1346,i1347,i1348,i1349,i1350,i1351,i1352,i1353,i1354,i1355,i1356,i1357,i1358,i1359,i1360,i1361,i1363,i1364,i1365,i1367,i1368,i1369,i1370,i3119,i3120,i3121,i3122,i3123,i3124,i3126,i3127,i3128,i3129,i3130,i3131,i3132,i3133,i3134,i3135,i3136,i3137,i3138,i3139,i3140,i3141,i3142,i3143,i3144,i3145,i3146,i3147,i3148,i3149,i3150,i3151,i3152,i3153
Vial,b1,b1,b1 (b13),b2,b2,b2,b2,b2 (b14),b2,b3,b3,b4,B4,b4,b4,b5,b5,b5,b5 (b15),b6,b6,b6,b6,b6,b6,b7,b7,b7 (b17),b7 (b16),b8,b8,b8,b8,b8 (b18),b9,b9,b10,b10,b10,b10,b10,b11,b11,b11,b12,b12,b13,b13,b13,b14,b14,b15,b16,b16,b17,b18,b3 (b19),b20,b20,b1,b1,b1,b1,b2,b2,b3,b3,b3,b3,b3,b3,b3,b4,b4,b4,b5,b5,b5,b5,b5,b5,b5,b5,b6,b6,b6,b7,b7,b7,b7,b8,b9,b9
33,,18,15,,,,,,,,,,,17,,,,,22,,,,,10,,,11,15,21,,,,,,,11,,,,,,,,14,23,,,,,,14,,,,,,2,,,,,,,10,,,,,8,,,,,9,,,,,16,,,,,,,,,,,,15,,12
35,,18,17,,,,,,,,,,,17,,,,,22,,,,,11,,,14,,21,,,,,,,11,,,,,,,,15,24,,,,,,,,,,,,2,,,,,,,11,,,,,8,,,,,10,,,,,18,,,,,,,,,,,,15,,15
37,,18,17,,,,,,,,,,,18,,,,,22,,,,,,,,16,,21,,,,,,,11,,,,,,,,15,24,,,,,,,,,,,,3,,,,,,,11,,,,,9,,,,,10,,,,,19,,,,,,,,,,,,17,,15
39,,21,18,,,,,,,,,,,18,,,,,24,,,,,,,,,,22,,,,,,,12,,,,,,,,15,27,,,,,,,,,,,,4,,,,,,,12,,,,,9,,,,,10,,,,,19,,,,,,,,,,,,17,,16
41,,24,18,,,,,,,,,,,18,,,,,24,,,,,,,,,,22,,,,,,,12,,,,,,,,16,27,,,,,,,,,,,,4,,,,,,,12,,,,,9,,,,,10,,,,,20,,,,,,,,,,,,18,,16
43,,24,18,,,,,,,,,,,18,,,,,24,,,,,,,,,,23,,,,,,,12,,,,,,,,16,27,,,,,,,,,,,,4,,,,,,,14,,,,,,,,,,10,,,,,20,,,,,,,,,,,,18,,16
45,,27,20,,,,,,,,,,,18,,,,,26,,,,,,,,,,23,,,,,,,13,,,,,,,,16,29,,,,,,,,,,,,6,,,,,,,14,,,,,,,,,,10,,,,,22,,,,,,,,,,,,20,,17
47,,,22,,,,,,,,,,,,,,,,26,,,,,,,,,,23,,,,,,,13,,,,,,,,18,29,,,,,,,,,,,,6,,,,,,,15,,,,,,,,,,10,,,,,22,,,,,,,,,,,,20,,17
49,,,22,,,,,,,,,,,,,,,,26,,,,,,,,,,24,,,,,,,13,,,,,,,,18,29,,,,,,,,,,,,6,,,,,,,17,,,,,,,,,,12,,,,,24,,,,,,,,,,,,20,,17
51,,,24,,,,,,,,,,,,,,,,27,,,,,,,,,,24,,,,,,,14,,,,,,,,20,31,,,,,,,,,,,,6,,,,,,,17,,,,,,,,,,12,,,,,24,,,,,,,,,,,,20,,18
53,,,24,,,,,,,,,,,,,,,,27,,,,,,,,,,26,,,,,,,14,,,,,,,,20,32,,,,,,,,,,,,7,,,,,,,18,,,,,,,,,,13,,,,,26,,,,,,,,,,,,22,,18
55,,,26,,,,,,,,,,,,,,,,27,,,,,,,,,,26,,,,,,,14,,,,,,,,21,32,,,,,,,,,,,,7,,,,,,,18,,,,,,,,,,13,,,,,,,,,,,,,,,,,22,,18
57,,,26,,,,,,,,,,,,,,,,27,,,,,,,,,,28,,,,,,,14,,,,,,,,24,33,,,,,,,,,,,,9,,,,,,,19,,,,,,,,,,16,,,,,,,,,,,,,,,,,22,,20
59,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,14,,,,,,,,25,34,,,,,,,,,,,,10,,,,,,,19,,,,,,,,,,16,,,,,,,,,,,,,,,,,22,,22
61,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,15,,,,,,,,26,34,,,,,,,,,,,,10,,,,,,,19,,,,,,,,,,16,,,,,,,,,,,,,,,,,22,,24
63,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,15,,,,,,,,26,34,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,27
65,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,15,,,,,,,,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,27
67,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,27,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,27
69,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,29
71,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,29
73,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,29
75,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,29
77,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,31
79,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,31
81,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,31
83,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,34
85,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
87,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
89,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
91,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
93,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
